DATA;hora;natureza_acidente;situacao;bairro;endereco;numero;detalhe_endereco_acidente;complemento;endereco_cruzamento;numero_cruzamento;referencia_cruzamento;bairro_cruzamento;num_semaforo;sentido_via;tipo;descricao;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais;acidente_verificado;tempo_clima;situacao_semaforo;sinalizacao;condicao_via;conservacao_via;ponto_controle;situacao_placa;velocidade_max_via;mao_direcao;divisao_via1;divisao_via2;divisao_via3
2018-12-20;12:24:00;SEM VÍTIMA;FINALIZADA;IPSEP;AV RECIFE;;;E/F AO ATACAMAX ATACADO S/T;AV RECIFE;;E/F AO ATACAMAX ATACADO S/T;IPSEP;;;COLISÃO;COLISAO ENTRE CAMINHAO E AUTO S/V;1;;;;;;1;;;0;;;;;;;;;;;;;;
2018-12-20;12:36:00;SEM VÍTIMA;FINALIZADA;SAN MARTIN;RUA FARROUPILHA;165 B;RUA SIGISMUNDO CABRAL DE MELO;;RUA FARROUPILHA;165 B;;SAN MARTIN;;SUBURBIO;ABALROAMENTO TRANSVERSAL;COLISAO ENRE DOIS AUTOS S/V;2;;;;;;;;;0;;Cruzamento;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Não existe;;
2018-12-20;12:56:00;SEM VÍTIMA;CANCELADA;CORDEIRO;RUA ODETE MONTEIRO;;;NA FRENTYE DA ESCOLA MUNICIPAL DARCY RIBEIRO;RUA ODETE MONTEIRO;;NA FRENTYE DA ESCOLA MUNICIPAL DARCY RIBEIRO;CORDEIRO;;;COLISÃO;COLISÃO SEM VITIMA;1;1;;;;;;;;0;;;;;;;;;;;;;;
2018-12-20;13:13:00;SEM VÍTIMA;FINALIZADA;SAN MARTIN;AV GENERAL SAN MARTIN;;;LADO OPOSTO AO 1449;AV GENERAL SAN MARTIN;;LADO OPOSTO AO 1449;SAN MARTIN;;SUBURBIO;COLISÃO TRASEIRA;COLISAO ENTRE ONIBUS E AUTO S/V;1;;;;;;1;;;0;;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;R-6a;;Dupla;Faixa contínua;;
2018-12-20;13:21:00;COM VÍTIMA;CANCELADA;PARNAMIRIM;RUA FERREIRA LOPES;;RUA DO MARQUES;COLGIO JOSE VIRELA;RUA FERREIRA LOPES;;COLGIO JOSE VIRELA;PARNAMIRIM;;;COLISÃO;COLISÃO COM VITIMA;2;1;;;;;;;;1;;;;;;;;;;;;;;
2018-12-20;13:42:00;COM VÍTIMA;FINALIZADA;ÁGUA FRIA;AV BEBERIBE;2243;RUA PROFESSORA LOURDES DUTRA;EM FRENTE AO SOBERANO. AO LADO DO MERCADINHO DOIS IRMÃOS.;AV BEBERIBE;2243;EM FRENTE AO SOBERANO. AO LADO DO MERCADINHO DOIS IRMÃOS.;ÁGUA FRIA;;SUBURBIO;ABALROAMENTO TRANSVERSAL;COLISÃO COM VITIMA;1;1;;;;;;;;1;;Esquina;Bom;Não existe;Perfeito estado;Molhada;Perfeito estado;Não existe;Outras;;Dupla;Faixa contínua;Faixa seccionada;
2018-12-20;13:54:00;COM VÍTIMA;FINALIZADA;PAISSANDU;AV GOVERNADOR AGAMENON MAGALHAES;;RUA PAISSANDU;SENTIDO OLINDA / BOA VIAGEM.;AV GOVERNADOR AGAMENON MAGALHAES;;SENTIDO OLINDA / BOA VIAGEM.;PAISSANDU;69;CIDADE;ABALROAMENTO LONGITUDINAL;;1;1;;;;;;;;1;;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;R-19;60 km/h;Única;Faixa;;
2018-12-20;14:07:00;SEM VÍTIMA;FINALIZADA;CAXANGÁ;AV CAXANGA;;;EM FRENTE AO POSTO IPIRANGA;AV CAXANGA;;EM FRENTE AO POSTO IPIRANGA;CAXANGÁ;;CIDADE;COLISÃO TRASEIRA;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;R-6a;;Única;Faixa seccionada;Canteiro central;
2018-12-20;14:12:00;SEM VÍTIMA;FINALIZADA;MADALENA;RUA DR NAPOLEAO LAUREANO;231;RUA NOBRE DE LACERDA;IMÓVEL DE Nº 231;RUA DR NAPOLEAO LAUREANO;231;IMÓVEL DE Nº 231;MADALENA;;CIDADE;ABALROAMENTO TRANSVERSAL;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;;Cruzamento;Bom;Não existe;Não existente;Seca;Perfeito estado;Não existe;Outras;;Dupla;Não existe;;
2018-12-20;14:19:00;SEM VÍTIMA;FINALIZADA;BOA VISTA;AV GOVERNADOR AGAMENON MAGALHAES;;RUA JOAQUIM FELIPE;E/F AO WALMART AO LADO DA IGREJA DA CAPUNGA;AV GOVERNADOR AGAMENON MAGALHAES;;E/F AO WALMART AO LADO DA IGREJA DA CAPUNGA;BOA VISTA;;;COLISÃO;COLISAO ENTRE CARRO FORTE E AUTO S/V;1;;;;;;1;;;0;;;;;;;;;;;;;;
2018-12-20;14:20:00;SEM VÍTIMA;FINALIZADA;JAQUEIRA;RUA DEPUTADO PEDRO PIRES FERREIRA;;;PARQUE DA JAQUEIRA;RUA DEPUTADO PEDRO PIRES FERREIRA;;PARQUE DA JAQUEIRA;JAQUEIRA;;SUBURBIO;ABALROAMENTO TRANSVERSAL;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;;Outras;30 km/h;Dupla;;;
2018-12-20;14:45:00;SEM VÍTIMA;FINALIZADA;BOA VIAGEM;AV ENGENHEIRO DOMINGOS FERREIRA;;;PROX AO EMPRESARIAL PAULO MIRANDA AO LADO DA DROGARIA SAO PAULO;AV ENGENHEIRO DOMINGOS FERREIRA;;PROX AO EMPRESARIAL PAULO MIRANDA AO LADO DA DROGARIA SAO PAULO;BOA VIAGEM;;;COLISÃO;COLISAO ENTRE TRES AUTOS S/V;3;;;;;;;;;0;;;;;;;;;;;;;;
2018-12-20;15:13:00;SEM VÍTIMA;FINALIZADA;IPSEP;RUA PINTOR ANTONIO ALBUQUERQUE;16;;ESQUINA DA ENTRADA DESTA RUA AO MLADO DO POSTO SHEL;RUA PINTOR ANTONIO ALBUQUERQUE;16;ESQUINA DA ENTRADA DESTA RUA AO MLADO DO POSTO SHEL;IPSEP;;;COLISÃO;COLISAO ENTRE CAMINHAO E ONIBUS S/V;;;;;;1;1;;;0;;;;;;;;;;;;;;
2018-12-20;15:29:00;SEM VÍTIMA;PENDENTE;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;;;PROX A CONTINENTAL LOJA DE PNEUS AO LADO DO MURO DO AEROPORTO S/T CID;AV MARECHAL MASCARENHAS DE MORAES;;PROX A CONTINENTAL LOJA DE PNEUS AO LADO DO MURO DO AEROPORTO S/T CID;IMBIRIBEIRA;;;COLISÃO;COLISAO ENTRE ONIBUS E AUTO S/V;1;;;;;1;;;;0;;;;;;;;;;;;;;
2018-12-20;15:35:00;SEM VÍTIMA;FINALIZADA;SANTO AMARO;AV PREFEITO ARTUR LIMA CAVALCANTI;;;APÓS A PONTE LIMOEIRO A DIREITA/ SENTIDO CAMPO GRANDE;AV PREFEITO ARTUR LIMA CAVALCANTI;;APÓS A PONTE LIMOEIRO A DIREITA/ SENTIDO CAMPO GRANDE;SANTO AMARO;;SUBURBIO;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Outras;40 km/h;Dupla;Canteiro central;;
2018-12-20;15:53:00;COM VÍTIMA;FINALIZADA;CASA AMARELA;RUA PADRE LEMOS;485;;EM FRENTE AO CORREIOS;RUA PADRE LEMOS;485;EM FRENTE AO CORREIOS;CASA AMARELA;;SUBURBIO;ABALROAMENTO TRANSVERSAL;COLISÃO COM VÍTIMA;1;1;;;;;;;;1;;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;40 km/h;Dupla;Faixa seccionada;;
2018-12-20;16:13:00;SEM VÍTIMA;FINALIZADA;VÁRZEA;RUA MARECHAL MANOEL LUIS OSORIO;447;RUA PROFESSOR ANTONIO COELHO;;RUA MARECHAL MANOEL LUIS OSORIO;447;;VÁRZEA;;SUBURBIO;ABALROAMENTO TRANSVERSAL;COLISAO ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;;Cruzamento;Bom;Não existe;Não existente;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Não existe;;
2018-12-20;16:52:00;SEM VÍTIMA;FINALIZADA;PINA;RUA TOME GIBSON;;AV ENGENHEIRO DOMINGOS FERREIRA;SOB O SEMÁFORO Nº 200;RUA TOME GIBSON;;SOB O SEMÁFORO Nº 200;PINA;;;ABALROAMENTO LONGITUDINAL;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;;Outras;;Dupla;Não existe;;
2018-12-20;16:52:00;SEM VÍTIMA;FINALIZADA;SANTO AMARO;AV VISCONDE DE SUASSUNA;;;EM FRENTE AO MPPE;AV VISCONDE DE SUASSUNA;;EM FRENTE AO MPPE;SANTO AMARO;;SUBURBIO;ABALROAMENTO LONGITUDINAL;EVENTO COM AUTORIDADE MÁXIMA DO MUNICÍPIO;2;;;;;;;;;0;;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Única;Faixa seccionada;;
2018-12-20;17:01:00;SEM VÍTIMA;FINALIZADA;ILHA DO RETIRO;RUA SPORT CLUBE DO RECIFE;;;EM FRENTE A FACULDADE DE ADMINISTRAÇÃO E DIREITO;RUA SPORT CLUBE DO RECIFE;;EM FRENTE A FACULDADE DE ADMINISTRAÇÃO E DIREITO;ILHA DO RETIRO;481;;COLISÃO TRASEIRA;COLISAO ENTRE AUTO E MOTO S/V;1;1;;;;;;;;0;;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;;Dupla;Canteiro central;;
2018-12-20;17:01:00;COM VÍTIMA;FINALIZADA;ZUMBI;RUA CONS THEODORO;25;;;RUA CONS THEODORO;25;;ZUMBI;;SUBURBIO;COLISÃO COM CICLISTA;MOTO DA POLICIA E BICICLETA COM DUAS CRIANÇAS;;1;;1;;;;;;2;;Longo da via;Bom;Não existe;Não existente;Seca;Perfeito estado;Não existe;"Placas ""Pare""";;Dupla;Faixa contínua;;
2018-12-20;17:44:00;SEM VÍTIMA;CANCELADA;SANTO AMARO;RUA SAO GERALDO;;;PROX. A SDS;RUA SAO GERALDO;;PROX. A SDS;SANTO AMARO;;;COLISÃO;COLISÃO SEM VITIMA;2;;;;;;;;;0;;;;;;;;;;;;;;
2018-12-20;17:52:00;SEM VÍTIMA;FINALIZADA;JORDÃO;AV MARIA IRENE;;;ENFRENTE AO POSTO DE COMBUSTIVEL IPIRANGA E A PRAÇA DO JORDÃO;AV MARIA IRENE;;ENFRENTE AO POSTO DE COMBUSTIVEL IPIRANGA E A PRAÇA DO JORDÃO;JORDÃO;;SUBURBIO;ABALROAMENTO TRANSVERSAL;COLISÃO SEM VITIMA;1;1;;;;;;;;0;;Longo da via;Bom;Não existe;Não existente;Seca;Perfeito estado;Não existe;Não há placas;60 km/h;Dupla;Não existe;;
2018-12-20;18:03:00;SEM VÍTIMA;EQUIPE EM DESLOCAMENTO;SANTO AMARO;AV VISCONDE DE SUASSUNA;;;ENFRENTE AO EDIF. PROMOTOR PAULO CAVALCANTI;AV VISCONDE DE SUASSUNA;;ENFRENTE AO EDIF. PROMOTOR PAULO CAVALCANTI;SANTO AMARO;;;COLISÃO;COLISÃO SEM VITIMA;2;;;;;;;;;0;;;;;;;;;;;;;;
2018-12-20;18:23:00;SEM VÍTIMA;FINALIZADA;BOA VISTA;AV DANTAS BARRETO;;;PROX A FARMACIA DO TRABALHADOR E O BRT SENTIDO PRC DO CARMO;AV DANTAS BARRETO;;PROX A FARMACIA DO TRABALHADOR E O BRT SENTIDO PRC DO CARMO;BOA VISTA;;;COLISÃO;ONIBUS X AUTO;1;;;;;1;;;;0;;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Única;Canteiro central;;
2018-12-20;18:49:00;SEM VÍTIMA;CANCELADA;DERBY;AV GOVERNADOR AGAMENON MAGALHAES;;;PROX. AO MEMORIAL SÃO JOSÉ, SENTIDO OLINDA;AV GOVERNADOR AGAMENON MAGALHAES;;PROX. AO MEMORIAL SÃO JOSÉ, SENTIDO OLINDA;DERBY;;CIDADE;COLISÃO;COLISÃO SEM VITIMAS;2;;;;;;;;;0;;;;;;;;;;;;;;
2018-12-20;18:52:00;SEM VÍTIMA;FINALIZADA;SANTO ANTÔNIO;PRC DA REPUBLICA;;;SOB O SEMÁFORO Nº 488;PRC DA REPUBLICA;;SOB O SEMÁFORO Nº 488;SANTO ANTÔNIO;488;;COLISÃO TRASEIRA;;4;;;;;;;;;0;;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;40 km/h;Única;Faixa contínua;;
2018-12-20;18:58:00;SEM VÍTIMA;FINALIZADA;MADALENA;RUA JOSE OSORIO;706;;EM FRENTE A REALIZE CAR;RUA JOSE OSORIO;706;EM FRENTE A REALIZE CAR;MADALENA;;SUBURBIO;COLISÃO TRASEIRA;DOIS AUTO;2;;;;;;;;;0;;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Faixa contínua;;
