chave_acesso;serie;numero;natureza_operacao;data;cnpj
4,32201E+43;1;32453;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:53;8,65862E+12
4,32201E+43;1;32453;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:53;8,65862E+12
4,32201E+43;1;32453;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:53;8,65862E+12
4,32201E+43;1;32453;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:53;8,65862E+12
4,32201E+43;1;32453;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:53;8,65862E+12
4,32201E+43;1;32454;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:58;8,65862E+12
4,32201E+43;1;32454;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:58;8,65862E+12
4,32201E+43;1;32454;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:58;8,65862E+12
4,32201E+43;1;32454;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:58;8,65862E+12
4,32201E+43;1;32454;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:58;8,65862E+12
4,32201E+43;1;32454;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:58;8,65862E+12
4,32201E+43;1;32454;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:58;8,65862E+12
4,32201E+43;1;32454;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:58;8,65862E+12
4,32201E+43;1;32454;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:58;8,65862E+12
4,32201E+43;1;32454;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:58;8,65862E+12
4,32201E+43;1;32454;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:58;8,65862E+12
4,32201E+43;1;32454;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:58;8,65862E+12
4,32201E+43;1;32454;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:58;8,65862E+12
4,32201E+43;1;32454;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:58;8,65862E+12
4,32201E+43;1;32454;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:58;8,65862E+12
4,32201E+43;1;32454;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:58;8,65862E+12
4,32201E+43;1;32454;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:58;8,65862E+12
4,32201E+43;1;32454;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:58;8,65862E+12
4,32201E+43;1;32454;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:58;8,65862E+12
4,32201E+43;1;32454;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:58;8,65862E+12
4,32201E+43;1;32454;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:58;8,65862E+12
4,32201E+43;1;32454;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 15:58;8,65862E+12
4,32201E+43;1;32455;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 16:00;8,65862E+12
4,32201E+43;1;32455;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 16:00;8,65862E+12
4,32201E+43;1;32455;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 16:00;8,65862E+12
4,32201E+43;1;32456;Venda de mercadoria adquirida ou recebida de terceiros, dest;01/01/2022 16:04;8,65862E+12
5,12201E+43;1;32276;5656 Venda de combustivel ou lubrificante, adquiridos ou re;01/01/2022 16:05;2,83681E+12
3,52201E+43;200;583978;VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS;01/01/2022 16:11;3,58204E+13
3,52201E+43;200;583979;VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS;01/01/2022 16:11;3,58204E+13
5,12201E+43;1;310628;VENDAS DE COMBUISTIVEIS E LUBRIFICA;01/01/2022 16:12;2,89672E+12
5,32201E+43;5;21357;PRESTACAO SERVICOS;01/01/2022 16:21;4,02813E+13
